Driver,Stints,BeforePit,AfterPit,Gain
PIA,1,99.56466666666665,97.15633333333334,2.4083333333333172
NOR,1,100.00233333333334,97.52933333333333,2.473000000000013
RUS,1,99.88266666666665,97.84233333333333,2.0403333333333222
VER,1,100.13033333333334,97.23833333333334,2.891999999999996
